Year,A1B,A1FI,A1T,A2,B1,B2,A1B,A1FI,A1T,A2,B1,B2,A1B,A1FI,A1T,A2,B1,B2
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
1993,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
1994,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
1995,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
1996,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
1997,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2
1998,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2
1999,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
2000,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3
2001,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
2002,4,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3
2003,5,5,5,5,5,5,6,6,5,6,6,5,4,4,4,4,4,4
2004,5,5,5,5,5,5,6,6,6,6,6,6,4,4,4,4,4,4
2005,6,6,6,6,6,6,7,7,7,7,7,7,5,5,5,5,5,5
2006,6,6,6,6,6,6,7,7,7,7,7,7,5,5,5,5,5,5
2007,7,7,7,7,7,7,8,8,8,8,8,8,6,6,5,6,6,5
2008,7,7,7,7,7,7,9,9,8,8,9,8,6,6,6,6,6,6
2009,8,8,8,8,8,8,9,9,9,9,9,9,6,6,6,6,6,6
2010,8,8,8,8,8,8,10,10,10,10,10,10,7,7,7,7,7,7
2011,9,9,9,9,9,9,10,10,10,10,10,10,7,7,7,7,7,7
2012,9,9,9,9,9,9,11,11,11,11,11,11,8,8,8,8,8,8
2013,10,10,10,10,10,10,12,12,12,12,12,12,8,8,8,8,8,8
2014,10,10,10,11,10,10,12,12,12,12,12,12,9,9,9,9,9,9
2015,11,11,11,11,11,11,13,13,13,13,13,13,9,9,9,9,9,9
2016,12,12,12,12,12,12,14,14,14,14,14,14,10,10,10,10,10,10
2017,12,12,12,12,12,12,14,14,14,15,14,14,10,10,10,10,10,10
2018,13,13,13,13,13,13,15,15,15,15,15,15,10,10,11,11,11,11
2019,13,13,14,14,14,14,16,16,16,16,16,16,11,11,11,11,11,11
2020,14,14,14,14,14,14,17,17,17,17,17,17,11,11,12,12,12,12
2021,15,15,15,15,15,15,17,17,18,18,17,18,12,12,12,12,12,12
2022,15,15,16,16,15,16,18,18,18,18,18,18,12,13,13,13,13,13
2023,16,16,16,16,16,16,19,19,19,19,19,19,13,13,13,13,13,13
2024,17,17,17,17,17,17,20,20,20,20,20,20,14,14,14,14,14,14
2025,17,17,18,18,18,18,20,21,21,21,21,21,14,14,15,14,14,15
2026,18,18,19,18,18,19,21,21,22,22,22,22,15,15,15,15,15,15
2027,19,19,19,19,19,19,22,22,23,22,23,23,15,15,16,15,16,16
2028,19,20,20,20,20,20,23,23,24,23,23,24,16,16,17,16,16,16
2029,20,20,21,20,21,21,24,24,25,24,24,25,16,17,17,17,17,17
2030,21,21,22,21,21,22,25,25,26,25,25,26,17,17,18,17,17,18
2031,22,22,23,22,22,23,26,26,27,26,26,27,18,18,19,18,18,18
2032,22,23,24,23,23,23,26,27,28,27,27,28,18,18,19,18,19,19
2033,23,23,24,23,24,24,27,28,29,28,28,29,19,19,20,19,19,20
2034,24,24,25,24,25,25,28,29,30,29,29,30,19,20,21,20,20,21
2035,25,25,26,25,25,26,29,30,31,30,30,31,20,20,21,20,21,21
2036,26,26,27,26,26,27,31,31,32,31,31,32,21,21,22,21,21,22
2037,27,27,28,27,27,28,32,32,34,32,32,33,22,22,23,22,22,23
2038,27,28,29,28,28,29,33,33,35,33,33,34,22,23,24,22,23,23
2039,28,29,30,28,29,30,34,34,36,34,34,35,23,23,25,23,23,24
2040,29,30,31,29,30,31,35,35,37,35,35,37,24,24,25,24,24,25
2041,30,31,32,30,31,32,36,37,39,36,37,38,25,25,26,24,25,26
2042,31,32,33,31,31,33,37,38,40,37,38,39,25,26,27,25,25,26
2043,32,33,34,32,32,34,39,39,41,38,39,40,26,26,28,26,26,27
2044,33,34,36,33,33,35,40,40,43,40,40,41,27,27,29,27,27,28
2045,35,35,37,34,34,36,41,41,44,41,41,43,28,28,30,28,28,29
2046,36,36,38,35,35,37,43,43,45,42,42,44,29,29,31,28,28,30
2047,37,37,39,36,36,38,44,44,47,43,43,45,30,30,32,29,29,31
2048,38,38,40,37,37,39,46,46,48,45,45,47,31,31,33,30,30,31
2049,39,39,41,38,38,40,47,47,50,46,46,48,32,32,34,31,31,32
2050,40,40,43,39,39,41,48,48,51,47,47,49,33,33,35,32,31,33
2051,41,42,44,40,40,42,50,50,53,49,48,51,33,34,36,33,32,34
2052,43,43,45,41,41,43,51,52,55,50,50,52,34,35,37,33,33,35
2053,44,44,47,43,42,44,53,53,56,51,51,54,35,36,38,34,34,36
2054,45,45,48,44,43,46,54,55,58,53,52,55,36,37,39,35,35,37
2055,46,47,49,45,44,47,56,56,60,54,54,57,37,38,40,36,36,38
2056,48,48,51,46,45,48,58,58,61,56,55,58,38,39,41,37,36,38
2057,49,50,52,47,46,49,59,60,63,57,56,60,39,40,42,38,37,39
2058,50,51,53,49,48,50,61,62,65,59,58,61,40,41,43,39,38,40
2059,52,53,55,50,49,52,63,64,67,60,59,63,42,42,44,40,39,41
2060,53,54,56,51,50,53,64,66,68,62,61,64,43,44,45,41,40,42
2061,54,56,58,52,51,54,66,68,70,64,62,66,44,45,46,42,41,43
2062,56,57,59,54,52,55,68,70,72,65,63,67,45,46,47,43,42,44
2063,57,59,61,55,53,57,70,72,74,67,65,69,46,47,49,44,43,45
2064,59,61,62,57,54,58,72,74,76,69,66,71,47,49,50,45,43,46
2065,60,62,64,58,56,59,73,76,78,71,68,72,48,50,51,46,44,47
2066,62,64,65,59,57,61,75,78,80,72,69,74,50,51,52,48,45,48
2067,63,66,67,61,58,62,77,80,82,74,71,76,51,53,53,49,46,49
2068,65,68,68,62,59,63,79,83,84,76,73,78,52,54,55,50,47,50
2069,66,70,70,64,61,65,81,85,86,78,74,79,53,56,56,51,48,51
2070,68,72,72,65,62,66,83,87,88,80,76,81,54,57,57,52,49,53
2071,70,73,73,67,63,67,85,90,90,82,77,83,56,59,58,53,50,54
2072,71,75,75,69,64,69,87,92,92,84,79,85,57,60,60,55,51,55
2073,73,77,76,70,66,70,89,95,94,86,81,87,58,62,61,56,52,56
2074,75,79,78,72,67,72,92,97,96,88,82,88,60,64,62,57,53,57
2075,76,82,80,73,68,73,94,100,98,90,84,90,61,65,63,59,54,58
2076,78,84,81,75,70,75,96,103,101,92,86,92,62,67,65,60,55,59
2077,80,86,83,77,71,76,98,105,103,95,88,94,64,69,66,61,56,60
2078,82,88,85,79,72,78,100,108,105,97,89,96,65,70,67,63,57,61
2079,83,90,86,80,74,79,103,111,107,99,91,98,66,72,69,64,58,63
2080,85,92,88,82,75,81,105,114,109,101,93,100,68,74,70,65,59,64
2081,87,95,90,84,76,82,107,117,112,104,95,102,69,75,71,67,60,65
2082,89,97,92,86,78,84,110,119,114,106,96,104,70,77,72,68,61,66
2083,91,99,93,88,79,85,112,122,116,109,98,106,72,79,74,70,63,67
2084,92,102,95,90,81,87,114,125,119,111,100,108,73,81,75,71,64,69
2085,94,104,97,92,82,89,117,129,121,113,102,110,75,83,77,73,65,70
2086,96,106,99,94,83,90,119,132,123,116,104,113,76,85,78,74,66,71
2087,98,109,100,96,85,92,122,135,126,119,106,115,78,87,79,76,67,72
2088,100,111,102,98,86,93,124,138,128,121,108,117,79,88,81,77,68,74
2089,102,114,104,100,88,95,127,141,130,124,110,119,80,90,82,79,69,75
2090,104,116,106,102,89,97,129,144,133,126,111,121,82,92,83,80,70,76
2091,106,119,108,104,91,98,132,148,135,129,113,123,83,94,85,82,71,77
2092,108,121,109,106,92,100,134,151,138,132,115,126,85,96,86,84,72,79
2093,110,124,111,108,94,102,137,154,140,135,117,128,86,98,87,85,73,80
2094,112,127,113,110,95,104,140,158,143,138,119,130,88,100,89,87,74,81
2095,114,129,115,112,96,105,142,161,145,140,121,133,89,102,90,89,76,83
2096,116,132,117,115,98,107,145,165,148,143,123,135,91,104,91,90,77,84
2097,118,135,119,117,99,109,148,168,150,146,125,137,92,106,93,92,78,85
2098,120,137,120,119,101,111,150,172,153,149,127,140,94,109,94,94,79,87
2099,122,140,122,122,102,112,153,175,155,152,129,142,95,111,96,96,80,88
2100,124,143,124,124,104,114,156,179,158,155,131,145,97,113,97,98,81,89
